file,start_time,end_time,pika_present,predict_score,binary_predictions,,,,harmonics,power_density,,,#false pika calls >8,#birds>8,#nothing>8,#wind>8
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S1_20210618_041500.mp3,22.35,22.65,TRUE,22.323591,1,,,,4,-74.61,,,41,12,1,1
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S2_20210613_060000.mp3,10.5,10.8,TRUE,19.747429,1,,,,6,-76.09,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T3_20210623_083000.mp3,65.55,65.85,TRUE,19.096273,1,,,,6,-67.72,,,,,,
./audio_data\testing_data_audio\PIKARU4_20240719_120002.wav,560.25,560.55,TRUE,18.418139,1,,,,4,-72.7,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T2_20210620_043000.mp3,137.7,138,TRUE,17.849722,1,,,,4,-72.55,,,,,,
./audio_data\testing_data_audio\PIKARU7_20240725_122002.wav,510.9,511.2,TRUE,17.050085,1,,,,5,-72.24,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S3_20210715_073000.mp3,144.75,145.05,TRUE,16.275494,1,,,,4,-80.15,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210704_064500.mp3,7.2,7.5,TRUE,15.963592,1,,,,2,-78.79,,,,,,
./audio_data\testing_data_audio\PIKARU25_20240808_212002.wav,10.95,11.25,TRUE,15.683794,1,,,,9,-65.15,,,,,,
./audio_data\testing_data_audio\PIKARU7_20240725_122002.wav,566.55,566.85,TRUE,15.140782,1,,,,5,-77.07,,,,,,
./audio_data\testing_data_audio\PIKARU8_20240723_164002.wav,122.85,123.15,TRUE,14.672675,1,,,,1,-82.89,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S1_20210613_050000.mp3,170.25,170.55,TRUE,14.076274,1,,,,1,-87.72,,,,,,
./audio_data\testing_data_audio\PIKARU7_20240725_122002.wav,141.9,142.2,TRUE,13.684865,1,,,,4,-70.85,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T3_20210623_083000.mp3,84.15,84.45,TRUE,12.859412,1,,,,5,-81.18,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T3_20210623_083000.mp3,73.5,73.8,TRUE,11.947334,1,,,,2,-78.78,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T2_20210620_043000.mp3,115.65,115.95,TRUE,11.141997,1,,,,3,-77.22,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T3_20210623_083000.mp3,65.7,66,TRUE,10.643245,1,,,,5,-67.72,,,,,,
./audio_data\testing_data_audio\PIKARU8_20240723_164002.wav,349.2,349.5,TRUE,9.863953,1,,,,1,-79.76,,,,,,
./audio_data\testing_data_audio\PIKARU2_20240720_121002.wav,164.7,165,TRUE,9.1761675,1,,,,1,-79.41,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-276468-T3_20210623_083000.mp3,95.55,95.85,TRUE,8.096942,0,,,,4,-76.6,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210704_064500.mp3,7.35,7.65,TRUE,7.37334,0,,,,2,-77.78,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S1_20210618_041500.mp3,19.65,19.95,TRUE,6.2534847,0,,,,3,-74.61,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-YSH-243244-S3_20210709_061500.mp3,185.4,185.7,TRUE,5.3456225,0,,,,1,-74.31,,,,,,
./audio_data\testing_data_audio\PIKARU25_20240808_212002.wav,15.9,16.2,TRUE,3.7835782,0,,,,8,-67.5,,,,,,
./audio_data\testing_data_audio\PIKARU4_20240719_120002.wav,8.55,8.85,TRUE,2.16559,0,,,,1,-83.18,,,,,,
./audio_data\testing_data_audio\PIKARU4_20240719_120002.wav,536.1,536.4,TRUE,0.52554804,0,,,,2,-83.48,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210629_051500.mp3,168.3,168.6,TRUE,-0.8770456,0,,,,1,-83.51,,,,,,
./audio_data\testing_data_audio\PIKARU8_20240723_164002.wav,439.5,439.8,TRUE,-2.004583,0,,,,1,-80.99,,,,,,
./audio_data\testing_data_audio\PIKARU7_20240725_122002.wav,443.55,443.85,TRUE,-4.2880125,0,,,,1,-84.01,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210704_064500.mp3,32.85,33.15,TRUE,-5.896349,0,,,,1,-84.87,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-RUR-265140-S2_20210703_061500.mp3,42.75,43.05,TRUE,-7.254079,0,,,,1,-86.94,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210629_051500.mp3,155.85,156.15,TRUE,-8.814231,0,,,,1,-85.72,,,,,,
./audio_data\testing_data_audio\PIKARU4_20240719_120002.wav,386.7,387,TRUE,-9.9789505,0,,,,1,-83.96,,,,,,
./audio_data\testing_data_audio\PIKARU4_20240719_120002.wav,239.1,239.4,TRUE,-10.268085,0,,,,1,-83.23,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210629_051500.mp3,158.55,158.85,TRUE,-11.185891,0,,,,1,-86.32,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210704_064500.mp3,3.3,3.6,TRUE,-11.516637,0,,,,1,-84.19,,,,,,
./audio_data\testing_data_audio\CWS-NOR_YTHEMP-BMP-242114-S1_20210704_064500.mp3,26.25,26.55,TRUE,-12.274947,0,,,,1,-82.02,,,,,,
